Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"106,788.00",12/31,03/25,MO
AMC Networks Inc,286.08,12/31,03/25,AMCX
BioCryst Pharmaceuticals Inc,"2,030.68",12/31,03/25,BCRX
Black Diamond Therapeutics Inc,125.13,12/31,03/25,BDTX
Bumble Inc,430.32,12/31,03/25,BMBL
Catalyst Pharmaceutical Inc,"2,915.83",12/31,03/25,CPRX
Cerence Inc,296.22,12/31,03/25,CRNC
CGI Inc,"15,625.53",12/31,03/25,GIB
Collegium Pharmaceutical Inc,"1,054.29",12/31,03/25,COLL
Consensus Cloud Solutions Inc,468.45,12/31,03/25,CCSI
CorMedix Inc,517.89,09/30,03/25,CRMD
Cricut Inc,855.91,12/31,03/25,CRCT
Crocs Inc,"4,020.52",12/31,03/25,CROX
DHI Group Inc,118.71,12/31,03/25,DHX
Enghouse Systems Ltd,643.37,10/31,03/25,EGHSF
EverQuote Inc,578.49,12/31,03/25,EVER
GAMBLING DOT COM GROUP LTD,140.32,09/30,03/25,GAMB
GigaCloud Technology Inc,"1,649.73",12/31,03/25,GCT
H&R Block Inc,"3,901.64",12/31,03/25,HRB
Harmony Biosciences Holdings Inc,"1,592.66",12/31,03/25,HRMY
HP Inc,"17,848.21",01/31,03/25,HPQ
Ironwood Pharmaceuticals Inc,518.17,12/31,03/25,IRWD
J Jill Inc,230.96,10/31,03/25,JILL
John Wiley & Sons Inc.,"1,970.45",01/31,03/25,WLY
Keros Therapeutics Inc,460.77,09/30,03/25,KROS
Korn Ferry,"3,242.68",01/31,03/25,KFY
MediaAlpha Inc,530.59,12/31,03/25,MAX
OneSpan Inc,399.39,12/31,03/25,OSPN
Pediatrix Medical Group Inc,"1,758.26",12/31,03/25,MD
Phoenix Education Partners Inc,"1,131.41",11/30,03/25,PXED
Pitney Bowes Inc.,"1,644.18",12/31,03/25,PBI
Playtika Holding Corp,"1,089.53",12/31,03/25,PLTK
PTC Therapeutics Inc,"5,438.39",12/31,03/25,PTCT
Puma Biotechnology Inc,319.08,12/31,03/25,PBYI
Regis Corp,61.53,12/31,03/25,RGS
Rigel Pharmaceuticals Inc,481.40,09/30,03/25,RIGL
Rimini Street Inc,289.47,12/31,03/25,RMNI
SBC Medical Group Holdings Inc,390.82,09/30,03/25,SBC
Shutterstock Inc,585.86,12/31,03/25,SSTK
SIGA Technologies Inc,357.34,09/30,03/25,SIGA
Sirius XM Holdings Inc,"7,701.65",12/31,03/25,SIRI
The Arena Group Holdings Inc,115.61,09/30,03/25,AREN
The Cigna Group,"71,230.12",12/31,03/25,CI
Travelzoo,70.07,12/31,03/25,TZOO
TriNet Group Inc,"1,775.52",12/31,03/25,TNET
Unisys Corp,152.08,12/31,03/25,UIS
Upwork Inc,"1,477.77",12/31,03/25,UPWK
Versant Media Group Inc,"5,262.13",12/31,03/25,VSNT
Xponential Fitness Inc,209.42,12/31,03/25,XPOF
Yelp Inc,"1,451.49",12/31,03/25,YELP
