Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"103,217.50",09/30,01/14,MO
AMC Networks Inc,364.59,09/30,01/14,AMCX
biote Corp,73.02,09/30,01/14,BTMD
Bitcoin Depot Inc,93.88,09/30,01/14,BTM
Brookfield Business Corp,"2,473.69",09/30,01/14,BBUC
Bumble Inc,404.57,09/30,01/14,BMBL
Catalyst Pharmaceutical Inc,"2,856.05",09/30,01/14,CPRX
Consensus Cloud Solutions Inc,430.41,09/30,01/14,CCSI
CorMedix Inc,555.49,09/30,01/14,CRMD
Crocs Inc,"4,377.50",09/30,01/14,CROX
Deluxe Corp,"1,060.72",09/30,01/14,DLX
DHI Group Inc,80.02,09/30,01/14,DHX
Enghouse Systems Ltd,776.97,10/31,01/14,EGHSF
European Wax Center Inc,174.00,09/30,01/14,EWCZ
GAMBLING.COM GROUP LIMITED,176.54,09/30,01/14,GAMB
Getty Images Holdings Inc,539.98,09/30,01/14,GETY
H&R Block Inc,"5,310.95",09/30,01/14,HRB
Harmony Biosciences Holdings Inc,"2,075.76",09/30,01/14,HRMY
HP Inc,"19,498.88",10/31,01/14,HPQ
IDT Corp,"1,305.05",10/31,01/14,IDT
Innoviva Inc,"1,475.94",09/30,01/14,INVA
Ironwood Pharmaceuticals Inc,738.56,09/30,01/14,IRWD
J Jill Inc,239.88,10/31,01/14,JILL
John Wiley & Sons Inc.,"1,629.05",10/31,01/14,WLY
Keros Therapeutics Inc,793.54,09/30,01/14,KROS
Korn Ferry,"3,498.13",10/31,01/14,KFY
NL Industries Inc.,306.37,09/30,01/14,NL
Omnicom Group Inc,"15,548.51",09/30,01/14,OMC
OneSpan Inc,482.76,09/30,01/14,OSPN
Pediatrix Medical Group Inc,"1,890.04",09/30,01/14,MD
Perdoceo Education Corp,"1,992.05",09/30,01/14,PRDO
Phoenix Education Partners Inc,"1,014.23",11/30,01/14,PXED
Pitney Bowes Inc.,"1,734.87",09/30,01/14,PBI
Playtika Holding Corp,"1,366.70",09/30,01/14,PLTK
PTC Therapeutics Inc,"6,177.94",09/30,01/14,PTCT
Puma Biotechnology Inc,323.47,09/30,01/14,PBYI
Regis Corp,61.02,09/30,01/14,RGS
Rigel Pharmaceuticals Inc,709.79,09/30,01/14,RIGL
Rimini Street Inc,358.62,09/30,01/14,RMNI
SBC Medical Group Holdings Inc,456.47,09/30,01/14,SBC
Shutterstock Inc,664.62,09/30,01/14,SSTK
SIGA Technologies Inc,481.23,09/30,01/14,SIGA
Sirius XM Holdings Inc,"7,114.07",09/30,01/14,SIRI
The Arena Group Holdings Inc,206.96,09/30,01/14,AREN
The Cigna Group,"72,390.88",09/30,01/14,CI
Travelzoo,68.11,09/30,01/14,TZOO
Unisys Corp,233.17,09/30,01/14,UIS
Versant Media Group Inc,"4,811.50",09/30,01/14,VSNT
Xponential Fitness Inc,281.36,09/30,01/14,XPOF
Yelp Inc,"1,815.14",09/30,01/14,YELP
