Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
AMC Networks Inc,323.66,12/31,04/07,AMCX
BioCryst Pharmaceuticals Inc,"2,071.73",12/31,04/07,BCRX
Black Diamond Therapeutics Inc,139.99,12/31,04/07,BDTX
Bumble Inc,451.05,12/31,04/07,BMBL
Catalyst Pharmaceutical Inc,"3,061.63",12/31,04/07,CPRX
Cerence Inc,341.69,12/31,04/07,CRNC
CGI Inc,"15,677.29",12/31,04/07,GIB
Collegium Pharmaceutical Inc,"1,038.75",12/31,04/07,COLL
Consensus Cloud Solutions Inc,466.75,12/31,04/07,CCSI
CorMedix Inc,568.30,12/31,04/07,CRMD
Cricut Inc,872.82,12/31,04/07,CRCT
Crocs Inc,"4,541.59",12/31,04/07,CROX
Enghouse Systems Ltd,653.61,01/31,04/07,EGHSF
EverQuote Inc,556.74,12/31,04/07,EVER
GAMBLING DOT COM GROUP LTD,132.58,09/30,04/07,GAMB
Gen Digital Inc,"11,623.08",12/31,04/07,GEN
GigaCloud Technology Inc,"1,513.52",12/31,04/07,GCT
H&R Block Inc,"4,114.60",12/31,04/07,HRB
Harmony Biosciences Holdings Inc,"1,594.39",12/31,04/07,HRMY
HP Inc,"17,068.61",01/31,04/07,HPQ
IDT Corp,"1,215.89",01/31,04/07,IDT
Ironwood Pharmaceuticals Inc,564.18,12/31,04/07,IRWD
John Wiley & Sons Inc.,"1,974.18",01/31,04/07,WLY
Keros Therapeutics Inc,239.22,12/31,04/07,KROS
Korn Ferry,"3,258.12",01/31,04/07,KFY
MediaAlpha Inc,536.78,12/31,04/07,MAX
MiMedx Group Inc,571.64,12/31,04/07,MDXG
MTY Food Group Inc,664.58,11/30,04/07,MTYFF
OneSpan Inc,410.60,12/31,04/07,OSPN
Pediatrix Medical Group Inc,"1,803.90",12/31,04/07,MD
Phoenix Education Partners Inc,"1,111.57",02/28,04/07,PXED
Pitney Bowes Inc.,"1,657.74",12/31,04/07,PBI
Playtika Holding Corp,"1,183.78",12/31,04/07,PLTK
PTC Therapeutics Inc,"5,668.96",12/31,04/07,PTCT
Puma Biotechnology Inc,351.34,12/31,04/07,PBYI
Q32 Bio Inc,75.86,12/31,04/07,QTTB
Regis Corp,62.40,12/31,04/07,RGS
Rigel Pharmaceuticals Inc,526.08,12/31,04/07,RIGL
SBC Medical Group Holdings Inc,458.52,09/30,04/07,SBC
Shutterstock Inc,599.36,12/31,04/07,SSTK
The Arena Group Holdings Inc,93.29,12/31,04/07,AREN
The Cigna Group,"72,255.00",12/31,04/07,CI
Travelzoo,64.72,12/31,04/07,TZOO
TriNet Group Inc,"1,761.04",12/31,04/07,TNET
Unisys Corp,146.37,12/31,04/07,UIS
Upwork Inc,"1,432.08",12/31,04/07,UPWK
Vaxart Inc,149.11,12/31,04/07,VXRT
Versant Media Group Inc,"5,482.71",12/31,04/07,VSNT
Xponential Fitness Inc,255.61,12/31,04/07,XPOF
Yelp Inc,"1,534.22",12/31,04/07,YELP
