Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"102,478.60",09/30,01/22,MO
AMC Networks Inc,345.03,09/30,01/22,AMCX
biote Corp,69.95,09/30,01/22,BTMD
Bitcoin Depot Inc,80.86,09/30,01/22,BTM
Blue Bird Corp,"1,596.16",09/30,01/22,BLBD
Brookfield Business Corp,"2,541.59",09/30,01/22,BBUC
Bumble Inc,406.83,09/30,01/22,BMBL
Catalyst Pharmaceutical Inc,"3,013.83",09/30,01/22,CPRX
Consensus Cloud Solutions Inc,414.08,09/30,01/22,CCSI
CorMedix Inc,582.92,09/30,01/22,CRMD
Crocs Inc,"4,522.64",09/30,01/22,CROX
DHI Group Inc,82.86,09/30,01/22,DHX
Enghouse Systems Ltd,741.38,10/31,01/22,EGHSF
European Wax Center Inc,170.96,09/30,01/22,EWCZ
GAMBLING.COM GROUP LIMITED,175.48,09/30,01/22,GAMB
Getty Images Holdings Inc,539.98,09/30,01/22,GETY
GigaCloud Technology Inc,"1,508.59",09/30,01/22,GCT
H&R Block Inc,"5,135.22",09/30,01/22,HRB
Harmony Biosciences Holdings Inc,"2,117.23",09/30,01/22,HRMY
HP Inc,"18,616.40",10/31,01/22,HPQ
IDT Corp,"1,234.09",10/31,01/22,IDT
Innoviva Inc,"1,475.94",09/30,01/22,INVA
J Jill Inc,246.22,10/31,01/22,JILL
John Wiley & Sons Inc.,"1,665.93",10/31,01/22,WLY
Keros Therapeutics Inc,790.70,09/30,01/22,KROS
Korn Ferry,"3,553.45",10/31,01/22,KFY
NL Industries Inc.,307.84,09/30,01/22,NL
Omnicom Group Inc,"15,366.22",09/30,01/22,OMC
OneSpan Inc,466.06,09/30,01/22,OSPN
Pediatrix Medical Group Inc,"1,906.35",09/30,01/22,MD
Perdoceo Education Corp,"2,097.86",09/30,01/22,PRDO
Phoenix Education Partners Inc,"1,144.27",11/30,01/22,PXED
Pitney Bowes Inc.,"1,686.01",09/30,01/22,PBI
Playtika Holding Corp,"1,329.05",09/30,01/22,PLTK
PTC Therapeutics Inc,"6,088.42",09/30,01/22,PTCT
Puma Biotechnology Inc,345.63,09/30,01/22,PBYI
Regis Corp,60.81,09/30,01/22,RGS
Rigel Pharmaceuticals Inc,688.20,09/30,01/22,RIGL
Rimini Street Inc,344.86,09/30,01/22,RMNI
SBC Medical Group Holdings Inc,458.52,09/30,01/22,SBC
Shutterstock Inc,685.21,09/30,01/22,SSTK
SIGA Technologies Inc,481.94,09/30,01/22,SIGA
Sirius XM Holdings Inc,"6,965.79",09/30,01/22,SIRI
The Arena Group Holdings Inc,196.50,09/30,01/22,AREN
The Cigna Group,"74,899.18",09/30,01/22,CI
Travelzoo,65.81,09/30,01/22,TZOO
Unisys Corp,211.78,09/30,01/22,UIS
Versant Media Group Inc,"4,575.30",09/30,01/22,VSNT
Xponential Fitness Inc,285.22,09/30,01/22,XPOF
Yelp Inc,"1,812.03",09/30,01/22,YELP
