Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
AMC Global Media Inc,328.36,12/31,04/14,AMCX
BioCryst Pharmaceuticals Inc,"2,089.01",12/31,04/14,BCRX
biote Corp,57.13,12/31,04/14,BTMD
Black Diamond Therapeutics Inc,151.99,12/31,04/14,BDTX
Bumble Inc,488.64,12/31,04/14,BMBL
Catalyst Pharmaceutical Inc,"3,208.64",12/31,04/14,CPRX
Cerence Inc,346.64,12/31,04/14,CRNC
CGI Inc,"15,854.17",12/31,04/14,GIB
Collegium Pharmaceutical Inc,"1,130.07",12/31,04/14,COLL
Consensus Cloud Solutions Inc,467.31,12/31,04/14,CCSI
CorMedix Inc,578.61,12/31,04/14,CRMD
Cricut Inc,893.95,12/31,04/14,CRCT
Crocs Inc,"5,080.24",12/31,04/14,CROX
Enghouse Systems Ltd,680.15,01/31,04/14,EGHSF
EverQuote Inc,575.59,12/31,04/14,EVER
GAMBLING DOT COM GROUP LTD,128.81,12/31,04/14,GAMB
Gen Digital Inc,"11,459.46",12/31,04/14,GEN
GigaCloud Technology Inc,"1,659.70",12/31,04/14,GCT
H&R Block Inc,"3,868.69",12/31,04/14,HRB
Harmony Biosciences Holdings Inc,"1,690.80",12/31,04/14,HRMY
HP Inc,"17,417.13",01/31,04/14,HPQ
IDT Corp,"1,275.47",01/31,04/14,IDT
Ironwood Pharmaceuticals Inc,658.75,12/31,04/14,IRWD
John Wiley & Sons Inc.,"2,052.61",01/31,04/14,WLY
Keros Therapeutics Inc,225.73,12/31,04/14,KROS
Korn Ferry,"3,257.61",01/31,04/14,KFY
MediaAlpha Inc,529.47,12/31,04/14,MAX
MTY Food Group Inc,633.84,02/28,04/14,MTYFF
OneSpan Inc,408.36,12/31,04/14,OSPN
Pediatrix Medical Group Inc,"1,876.09",12/31,04/14,MD
Perdoceo Education Corp,"2,188.60",12/31,04/14,PRDO
Phoenix Education Partners Inc,"1,014.53",02/28,04/14,PXED
Pitney Bowes Inc.,"1,769.27",12/31,04/14,PBI
Playtika Holding Corp,"1,266.72",12/31,04/14,PLTK
PTC Therapeutics Inc,"5,948.42",12/31,04/14,PTCT
Puma Biotechnology Inc,381.59,12/31,04/14,PBYI
Q32 Bio Inc,75.61,12/31,04/14,QTTB
Regis Corp,60.48,12/31,04/14,RGS
Rigel Pharmaceuticals Inc,574.78,12/31,04/14,RIGL
Shutterstock Inc,625.65,12/31,04/14,SSTK
The Arena Group Holdings Inc,89.95,12/31,04/14,AREN
The Cigna Group,"71,820.28",12/31,04/14,CI
Travelzoo,73.57,12/31,04/14,TZOO
TriNet Group Inc,"1,786.62",12/31,04/14,TNET
Unisys Corp,158.51,12/31,04/14,UIS
Upwork Inc,"1,443.83",12/31,04/14,UPWK
Vaxart Inc,170.75,12/31,04/14,VXRT
Versant Media Group Inc,"5,932.51",12/31,04/14,VSNT
Xponential Fitness Inc,258.43,12/31,04/14,XPOF
Yelp Inc,"1,570.20",12/31,04/14,YELP
