Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"97,508.35",09/30,12/19,MO
AMC Networks Inc,418.47,09/30,12/19,AMCX
Atara Biotherapeutics Inc,123.80,09/30,12/19,ATRA
biote Corp,85.29,09/30,12/19,BTMD
Bitcoin Depot Inc,93.20,09/30,12/19,BTM
Brookfield Business Corp,"2,529.69",09/30,12/19,BBUC
Bumble Inc,389.92,09/30,12/19,BMBL
Catalyst Pharmaceutical Inc,"2,926.31",09/30,12/19,CPRX
Consensus Cloud Solutions Inc,438.58,09/30,12/19,CCSI
Crocs Inc,"4,679.84",09/30,12/19,CROX
Deluxe Corp,"1,008.57",09/30,12/19,DLX
DHI Group Inc,71.97,09/30,12/19,DHX
Enghouse Systems Ltd,809.83,10/31,12/19,EGHSF
Espey Mfg & Electronics Corp,117.96,09/30,12/19,ESP
European Wax Center Inc,157.08,09/30,12/19,EWCZ
GAMBLING.COM GROUP LIMITED,181.46,09/30,12/19,GAMB
Getty Images Holdings Inc,523.37,09/30,12/19,GETY
GigaCloud Technology Inc,"1,503.38",09/30,12/19,GCT
H&R Block Inc,"5,525.86",09/30,12/19,HRB
Harmony Biosciences Holdings Inc,"2,177.71",09/30,12/19,HRMY
HP Inc,"21,836.49",10/31,12/19,HPQ
IDT Corp,"1,290.51",10/31,12/19,IDT
Innoviva Inc,"1,494.63",09/30,12/19,INVA
Ironwood Pharmaceuticals Inc,509.19,09/30,12/19,IRWD
J Jill Inc,220.98,10/31,12/19,JILL
John Wiley & Sons Inc.,"1,634.32",10/31,12/19,WLY
Keros Therapeutics Inc,823.20,09/30,12/19,KROS
Korn Ferry,"3,528.63",10/31,12/19,KFY
NL Industries Inc.,274.12,09/30,12/19,NL
Omnicom Group Inc,"15,558.20",09/30,12/19,OMC
OneSpan Inc,485.04,09/30,12/19,OSPN
Pediatrix Medical Group Inc,"1,880.60",09/30,12/19,MD
Perdoceo Education Corp,"1,885.92",09/30,12/19,PRDO
Pitney Bowes Inc.,"1,729.99",09/30,12/19,PBI
Playtika Holding Corp,"1,547.42",09/30,12/19,PLTK
PTC Therapeutics Inc,"6,280.26",09/30,12/19,PTCT
Puma Biotechnology Inc,283.66,09/30,12/19,PBYI
Regis Corp,71.37,09/30,12/19,RGS
Rigel Pharmaceuticals Inc,754.61,09/30,12/19,RIGL
Rimini Street Inc,364.12,09/30,12/19,RMNI
SBC Medical Group Holdings Inc,463.65,09/30,12/19,SBC
Shutterstock Inc,649.35,09/30,12/19,SSTK
SIGA Technologies Inc,449.00,09/30,12/19,SIGA
Sirius XM Holdings Inc,"6,999.49",09/30,12/19,SIRI
The Arena Group Holdings Inc,200.30,09/30,12/19,AREN
Thor Explorations Ltd,624.71,09/30,12/19,THXPF
Travelzoo,78.49,09/30,12/19,TZOO
Unisys Corp,200.37,09/30,12/19,UIS
Xponential Fitness Inc,270.47,09/30,12/19,XPOF
Yelp Inc,"1,945.01",09/30,12/19,YELP
