Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"111,074.20",12/31,03/11,MO
AMC Networks Inc,325.79,12/31,03/11,AMCX
biote Corp,52.77,09/30,03/11,BTMD
Bumble Inc,320.05,09/30,03/11,BMBL
Catalyst Pharmaceutical Inc,"2,999.57",12/31,03/11,CPRX
Cerence Inc,315.58,12/31,03/11,CRNC
CGI Inc,"15,754.95",12/31,03/11,GIB
Collegium Pharmaceutical Inc,"1,129.44",12/31,03/11,COLL
Consensus Cloud Solutions Inc,567.60,12/31,03/11,CCSI
CorMedix Inc,524.15,09/30,03/11,CRMD
Cricut Inc,855.91,12/31,03/11,CRCT
Crocs Inc,"4,036.08",12/31,03/11,CROX
DHI Group Inc,108.93,12/31,03/11,DHX
Enghouse Systems Ltd,723.61,10/31,03/11,EGHSF
EverQuote Inc,573.10,12/31,03/11,EVER
GAMBLING.COM GROUP LIMITED,145.59,09/30,03/11,GAMB
Getty Images Holdings Inc,312.15,09/30,03/11,GETY
GigaCloud Technology Inc,"1,617.62",12/31,03/11,GCT
H&R Block Inc,"3,861.08",12/31,03/11,HRB
Harmony Biosciences Holdings Inc,"1,661.93",12/31,03/11,HRMY
HP Inc,"17,093.96",01/31,03/11,HPQ
Ironwood Pharmaceuticals Inc,597.77,12/31,03/11,IRWD
J Jill Inc,236.55,10/31,03/11,JILL
John Wiley & Sons Inc.,"1,927.77",01/31,03/11,WLY
Keros Therapeutics Inc,457.92,09/30,03/11,KROS
Korn Ferry,"3,213.87",01/31,03/11,KFY
MediaAlpha Inc,554.76,12/31,03/11,MAX
NL Industries Inc.,285.36,09/30,03/11,NL
OneSpan Inc,404.25,12/31,03/11,OSPN
Pediatrix Medical Group Inc,"1,670.57",12/31,03/11,MD
Perdoceo Education Corp,"2,186.72",12/31,03/11,PRDO
Phoenix Education Partners Inc,"1,036.38",11/30,03/11,PXED
Pitney Bowes Inc.,"1,573.63",12/31,03/11,PBI
Playtika Holding Corp,"1,054.20",09/30,03/11,PLTK
PTC Therapeutics Inc,"5,350.40",12/31,03/11,PTCT
Puma Biotechnology Inc,302.30,09/30,03/11,PBYI
Regis Corp,53.33,12/31,03/11,RGS
Rigel Pharmaceuticals Inc,498.97,09/30,03/11,RIGL
SBC Medical Group Holdings Inc,375.43,09/30,03/11,SBC
Shutterstock Inc,579.46,12/31,03/11,SSTK
SIGA Technologies Inc,392.07,09/30,03/11,SIGA
Sirius XM Holdings Inc,"7,490.60",12/31,03/11,SIRI
The Arena Group Holdings Inc,142.26,09/30,03/11,AREN
The Cigna Group,"68,729.85",12/31,03/11,CI
Travelzoo,70.84,12/31,03/11,TZOO
TriNet Group Inc,"1,737.60",12/31,03/11,TNET
Unisys Corp,169.00,12/31,03/11,UIS
Versant Media Group Inc,"5,584.14",12/31,03/11,VSNT
Xponential Fitness Inc,212.59,12/31,03/11,XPOF
Yelp Inc,"1,507.86",12/31,03/11,YELP
