Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"103,402.20",09/30,01/15,MO
AMC Networks Inc,365.02,09/30,01/15,AMCX
biote Corp,73.33,09/30,01/15,BTMD
Bitcoin Depot Inc,92.51,09/30,01/15,BTM
Blue Bird Corp,"1,573.21",09/30,01/15,BLBD
Brookfield Business Corp,"2,563.99",09/30,01/15,BBUC
Bumble Inc,411.33,09/30,01/15,BMBL
Catalyst Pharmaceutical Inc,"2,830.16",09/30,01/15,CPRX
Consensus Cloud Solutions Inc,430.41,09/30,01/15,CCSI
CorMedix Inc,549.23,09/30,01/15,CRMD
Crocs Inc,"4,349.72",09/30,01/15,CROX
Deluxe Corp,"1,094.90",09/30,01/15,DLX
DHI Group Inc,81.44,09/30,01/15,DHX
Enghouse Systems Ltd,770.95,10/31,01/15,EGHSF
European Wax Center Inc,188.32,09/30,01/15,EWCZ
GAMBLING.COM GROUP LIMITED,175.13,09/30,01/15,GAMB
Getty Images Holdings Inc,539.98,09/30,01/15,GETY
H&R Block Inc,"5,395.65",09/30,01/15,HRB
Harmony Biosciences Holdings Inc,"2,097.07",09/30,01/15,HRMY
HP Inc,"19,348.67",10/31,01/15,HPQ
IDT Corp,"1,286.75",10/31,01/15,IDT
Innoviva Inc,"1,477.44",09/30,01/15,INVA
Ironwood Pharmaceuticals Inc,735.31,09/30,01/15,IRWD
J Jill Inc,255.14,10/31,01/15,JILL
John Wiley & Sons Inc.,"1,633.79",10/31,01/15,WLY
Keros Therapeutics Inc,782.57,09/30,01/15,KROS
NL Industries Inc.,305.88,09/30,01/15,NL
Omnicom Group Inc,"15,676.49",09/30,01/15,OMC
OneSpan Inc,473.27,09/30,01/15,OSPN
Pediatrix Medical Group Inc,"1,945.83",09/30,01/15,MD
Perdoceo Education Corp,"2,046.08",09/30,01/15,PRDO
Phoenix Education Partners Inc,"1,088.54",11/30,01/15,PXED
Pitney Bowes Inc.,"1,749.54",09/30,01/15,PBI
Playtika Holding Corp,"1,340.34",09/30,01/15,PLTK
PTC Therapeutics Inc,"6,046.06",09/30,01/15,PTCT
Puma Biotechnology Inc,321.45,09/30,01/15,PBYI
Regis Corp,61.01,09/30,01/15,RGS
Rigel Pharmaceuticals Inc,685.48,09/30,01/15,RIGL
Rimini Street Inc,350.37,09/30,01/15,RMNI
SBC Medical Group Holdings Inc,462.62,09/30,01/15,SBC
Shutterstock Inc,675.27,09/30,01/15,SSTK
SIGA Technologies Inc,473.35,09/30,01/15,SIGA
Sirius XM Holdings Inc,"7,046.67",09/30,01/15,SIRI
The Arena Group Holdings Inc,198.40,09/30,01/15,AREN
The Cigna Group,"74,244.73",09/30,01/15,CI
Travelzoo,66.47,09/30,01/15,TZOO
Unisys Corp,238.88,09/30,01/15,UIS
Versant Media Group Inc,"4,760.47",09/30,01/15,VSNT
Xponential Fitness Inc,288.03,09/30,01/15,XPOF
Yelp Inc,"1,812.03",09/30,01/15,YELP
