Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"99,221.09",09/30,12/15,MO
AMC Networks Inc,433.68,09/30,12/15,AMCX
Atara Biotherapeutics Inc,129.42,09/30,12/15,ATRA
biote Corp,80.38,09/30,12/15,BTMD
Bitcoin Depot Inc,90.46,09/30,12/15,BTM
Brookfield Business Corp,"2,493.99",09/30,12/15,BBUC
Bumble Inc,389.92,09/30,12/15,BMBL
Catalyst Pharmaceutical Inc,"2,980.55",09/30,12/15,CPRX
Consensus Cloud Solutions Inc,449.02,09/30,12/15,CCSI
Crocs Inc,"4,750.58",09/30,12/15,CROX
Deluxe Corp,"1,008.12",09/30,12/15,DLX
DHI Group Inc,75.76,09/30,12/15,DHX
Enghouse Systems Ltd,807.19,07/31,12/15,EGHSF
Espey Mfg & Electronics Corp,122.33,09/30,12/15,ESP
European Wax Center Inc,165.32,09/30,12/15,EWCZ
GAMBLING.COM GROUP LIMITED,192.72,09/30,12/15,GAMB
Getty Images Holdings Inc,618.90,09/30,12/15,GETY
GigaCloud Technology Inc,"1,439.33",09/30,12/15,GCT
H&R Block Inc,"5,503.11",09/30,12/15,HRB
Harmony Biosciences Holdings Inc,"2,241.64",09/30,12/15,HRMY
HP Inc,"22,991.21",10/31,12/15,HPQ
IDT Corp,"1,281.23",10/31,12/15,IDT
Innoviva Inc,"1,505.85",09/30,12/15,INVA
Ironwood Pharmaceuticals Inc,584.02,09/30,12/15,IRWD
J Jill Inc,210.59,07/31,12/15,JILL
John Wiley & Sons Inc.,"1,610.08",10/31,12/15,WLY
Keros Therapeutics Inc,862.62,09/30,12/15,KROS
Korn Ferry,"3,558.10",10/31,12/15,KFY
NL Industries Inc.,277.05,09/30,12/15,NL
Omnicom Group Inc,"15,606.68",09/30,12/15,OMC
OneSpan Inc,474.79,09/30,12/15,OSPN
Pediatrix Medical Group Inc,"1,947.55",09/30,12/15,MD
Perdoceo Education Corp,"1,869.84",09/30,12/15,PRDO
Pitney Bowes Inc.,"1,651.80",09/30,12/15,PBI
Playtika Holding Corp,"1,547.42",09/30,12/15,PLTK
PTC Therapeutics Inc,"6,094.82",09/30,12/15,PTCT
Puma Biotechnology Inc,293.23,09/30,12/15,PBYI
Regis Corp,70.19,09/30,12/15,RGS
Rigel Pharmaceuticals Inc,770.76,09/30,12/15,RIGL
Rimini Street Inc,375.13,09/30,12/15,RMNI
SBC Medical Group Holdings Inc,419.54,09/30,12/15,SBC
Shutterstock Inc,668.17,09/30,12/15,SSTK
SIGA Technologies Inc,452.58,09/30,12/15,SIGA
Sirius XM Holdings Inc,"7,258.98",09/30,12/15,SIRI
The Arena Group Holdings Inc,191.74,09/30,12/15,AREN
Thor Explorations Ltd,636.76,09/30,12/15,THXPF
Travelzoo,82.65,09/30,12/15,TZOO
Unisys Corp,205.36,09/30,12/15,UIS
Xponential Fitness Inc,256.07,09/30,12/15,XPOF
Yelp Inc,"1,904.00",09/30,12/15,YELP
