Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"107,426.40",12/31,02/03,MO
AMC Networks Inc,335.91,09/30,02/03,AMCX
biote Corp,65.66,09/30,02/03,BTMD
Bitcoin Depot Inc,66.44,09/30,02/03,BTM
Bumble Inc,365.13,09/30,02/03,BMBL
Catalyst Pharmaceutical Inc,"3,108.74",09/30,02/03,CPRX
CGI Inc,"17,180.74",12/31,02/03,GIB
Consensus Cloud Solutions Inc,417.88,09/30,02/03,CCSI
CorMedix Inc,636.19,09/30,02/03,CRMD
Crocs Inc,"4,523.17",09/30,02/03,CROX
DHI Group Inc,80.02,09/30,02/03,DHX
Enghouse Systems Ltd,707.98,10/31,02/03,EGHSF
European Wax Center Inc,170.53,09/30,02/03,EWCZ
EverQuote Inc,685.68,09/30,02/03,EVER
GAMBLING.COM GROUP LIMITED,161.06,09/30,02/03,GAMB
Getty Images Holdings Inc,485.98,09/30,02/03,GETY
H&R Block Inc,"4,702.86",09/30,02/03,HRB
Harmony Biosciences Holdings Inc,"2,158.70",09/30,02/03,HRMY
HP Inc,"17,837.20",10/31,02/03,HPQ
IDT Corp,"1,186.45",10/31,02/03,IDT
Innoviva Inc,"1,570.15",09/30,02/03,INVA
J Jill Inc,248.64,10/31,02/03,JILL
John Wiley & Sons Inc.,"1,530.53",10/31,02/03,WLY
Keros Therapeutics Inc,750.47,09/30,02/03,KROS
Match Group Inc,"6,907.10",12/31,02/03,MTCH
NL Industries Inc.,299.53,09/30,02/03,NL
Omnicom Group Inc,"13,184.62",09/30,02/03,OMC
OneSpan Inc,425.07,09/30,02/03,OSPN
Pediatrix Medical Group Inc,"1,793.91",09/30,02/03,MD
Perdoceo Education Corp,"2,010.06",09/30,02/03,PRDO
Phoenix Education Partners Inc,"1,057.46",11/30,02/03,PXED
Pitney Bowes Inc.,"1,699.04",09/30,02/03,PBI
Playtika Holding Corp,"1,295.16",09/30,02/03,PLTK
PTC Therapeutics Inc,"5,981.31",09/30,02/03,PTCT
Puma Biotechnology Inc,357.73,09/30,02/03,PBYI
Regis Corp,56.60,09/30,02/03,RGS
Rigel Pharmaceuticals Inc,656.81,09/30,02/03,RIGL
Rimini Street Inc,307.26,09/30,02/03,RMNI
SBC Medical Group Holdings Inc,465.70,09/30,02/03,SBC
Shutterstock Inc,660.00,09/30,02/03,SSTK
SIGA Technologies Inc,497.70,09/30,02/03,SIGA
Sirius XM Holdings Inc,"6,790.55",09/30,02/03,SIRI
Super Group (SGHC) Ltd,"4,555.84",09/30,02/03,SGHC
The Arena Group Holdings Inc,163.19,09/30,02/03,AREN
The Cigna Group,"73,563.55",09/30,02/03,CI
Travelzoo,61.22,09/30,02/03,TZOO
Unisys Corp,182.54,09/30,02/03,UIS
Versant Media Group Inc,"4,508.23",09/30,02/03,VSNT
Xponential Fitness Inc,301.38,09/30,02/03,XPOF
Yelp Inc,"1,557.88",09/30,02/03,YELP
