Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"96,601.61",09/30,01/09,MO
AMC Networks Inc,370.67,09/30,01/09,AMCX
Atara Biotherapeutics Inc,98.56,09/30,01/09,ATRA
biote Corp,79.16,09/30,01/09,BTMD
Bitcoin Depot Inc,89.77,09/30,01/09,BTM
Blue Bird Corp,"1,544.19",09/30,01/09,BLBD
Brookfield Business Corp,"2,420.50",09/30,01/09,BBUC
Bumble Inc,392.18,09/30,01/09,BMBL
Catalyst Pharmaceutical Inc,"2,800.58",09/30,01/09,CPRX
Consensus Cloud Solutions Inc,419.21,09/30,01/09,CCSI
CorMedix Inc,597.80,09/30,01/09,CRMD
Crocs Inc,"4,510.07",09/30,01/09,CROX
Deluxe Corp,"1,055.33",09/30,01/09,DLX
DHI Group Inc,79.55,09/30,01/09,DHX
Enghouse Systems Ltd,807.53,10/31,01/09,EGHSF
European Wax Center Inc,177.04,09/30,01/09,EWCZ
GAMBLING.COM GROUP LIMITED,182.17,09/30,01/09,GAMB
Getty Images Holdings Inc,539.98,09/30,01/09,GETY
H&R Block Inc,"5,699.06",09/30,01/09,HRB
Harmony Biosciences Holdings Inc,"2,220.33",09/30,01/09,HRMY
HP Inc,"20,156.04",10/31,01/09,HPQ
IDT Corp,"1,277.22",10/31,01/09,IDT
Innoviva Inc,"1,463.98",09/30,01/09,INVA
Ironwood Pharmaceuticals Inc,660.48,09/30,01/09,IRWD
J Jill Inc,226.12,10/31,01/09,JILL
John Wiley & Sons Inc.,"1,653.81",10/31,01/09,WLY
Keros Therapeutics Inc,780.13,09/30,01/09,KROS
NL Industries Inc.,320.54,09/30,01/09,NL
Omnicom Group Inc,"15,335.19",09/30,01/09,OMC
OneSpan Inc,497.18,09/30,01/09,OSPN
Pediatrix Medical Group Inc,"1,917.51",09/30,01/09,MD
Perdoceo Education Corp,"2,067.31",09/30,01/09,PRDO
Pitney Bowes Inc.,"1,726.73",09/30,01/09,PBI
Playtika Holding Corp,"1,362.93",09/30,01/09,PLTK
PTC Therapeutics Inc,"6,197.13",09/30,01/09,PTCT
Puma Biotechnology Inc,307.85,09/30,01/09,PBYI
Regis Corp,61.53,09/30,01/09,RGS
Rigel Pharmaceuticals Inc,741.00,09/30,01/09,RIGL
Rimini Street Inc,357.70,09/30,01/09,RMNI
SBC Medical Group Holdings Inc,455.44,09/30,01/09,SBC
Shutterstock Inc,693.73,09/30,01/09,SSTK
SIGA Technologies Inc,473.35,09/30,01/09,SIGA
Sirius XM Holdings Inc,"7,339.86",09/30,01/09,SIRI
The Arena Group Holdings Inc,204.59,09/30,01/09,AREN
The Cigna Group,"74,514.52",09/30,01/09,CI
Travelzoo,72.15,09/30,01/09,TZOO
Unisys Corp,228.89,09/30,01/09,UIS
Versant Media Group Inc,"5,017.08",09/30,01/09,VSNT
Xponential Fitness Inc,291.90,09/30,01/09,XPOF
Yelp Inc,"1,917.05",09/30,01/09,YELP
