Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"110,373.30",12/31,02/11,MO
AMC Networks Inc,320.24,09/30,02/11,AMCX
biote Corp,65.04,09/30,02/11,BTMD
Bitcoin Depot Inc,55.14,09/30,02/11,BTM
Bumble Inc,332.45,09/30,02/11,BMBL
Catalyst Pharmaceutical Inc,"2,949.73",09/30,02/11,CPRX
Cerence Inc,364.65,12/31,02/11,CRNC
CGI Inc,"16,264.01",12/31,02/11,GIB
Consensus Cloud Solutions Inc,509.59,12/31,02/11,CCSI
CorMedix Inc,582.13,09/30,02/11,CRMD
Crocs Inc,"4,153.05",09/30,02/11,CROX
DHI Group Inc,113.64,12/31,02/11,DHX
Enghouse Systems Ltd,714.01,10/31,02/11,EGHSF
EverQuote Inc,537.90,09/30,02/11,EVER
GAMBLING.COM GROUP LIMITED,153.68,09/30,02/11,GAMB
Getty Images Holdings Inc,436.14,09/30,02/11,GETY
GigaCloud Technology Inc,"1,358.89",09/30,02/11,GCT
H&R Block Inc,"3,781.22",12/31,02/11,HRB
Harmony Biosciences Holdings Inc,"2,107.44",09/30,02/11,HRMY
HP Inc,"18,550.69",10/31,02/11,HPQ
IDT Corp,"1,211.78",10/31,02/11,IDT
Innoviva Inc,"1,680.81",09/30,02/11,INVA
J Jill Inc,245.77,10/31,02/11,JILL
John Wiley & Sons Inc.,"1,554.76",10/31,02/11,WLY
Keros Therapeutics Inc,692.37,09/30,02/11,KROS
NL Industries Inc.,313.70,09/30,02/11,NL
Omnicom Group Inc,"13,442.53",09/30,02/11,OMC
OneSpan Inc,416.72,09/30,02/11,OSPN
Pediatrix Medical Group Inc,"1,842.83",09/30,02/11,MD
Perdoceo Education Corp,"1,959.89",09/30,02/11,PRDO
Phoenix Education Partners Inc,986.37,11/30,02/11,PXED
Pitney Bowes Inc.,"1,686.01",09/30,02/11,PBI
Playtika Holding Corp,"1,283.87",09/30,02/11,PLTK
PTC Therapeutics Inc,"5,668.78",09/30,02/11,PTCT
Puma Biotechnology Inc,334.55,09/30,02/11,PBYI
Regis Corp,55.53,12/31,02/11,RGS
Rigel Pharmaceuticals Inc,633.95,09/30,02/11,RIGL
Rimini Street Inc,286.16,09/30,02/11,RMNI
SBC Medical Group Holdings Inc,475.96,09/30,02/11,SBC
Shutterstock Inc,630.89,09/30,02/11,SSTK
SIGA Technologies Inc,475.50,09/30,02/11,SIGA
Sirius XM Holdings Inc,"7,336.50",12/31,02/11,SIRI
Super Group (SGHC) Ltd,"4,289.04",09/30,02/11,SGHC
The Arena Group Holdings Inc,150.82,09/30,02/11,AREN
Travelzoo,59.69,09/30,02/11,TZOO
TriNet Group Inc,"2,172.48",09/30,02/11,TNET
Unisys Corp,161.86,09/30,02/11,UIS
Versant Media Group Inc,"4,140.81",09/30,02/11,VSNT
Xponential Fitness Inc,294.00,09/30,02/11,XPOF
Yelp Inc,"1,442.29",09/30,02/11,YELP
