Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"102,562.60",09/30,01/21,MO
AMC Networks Inc,337.65,09/30,01/21,AMCX
biote Corp,70.26,09/30,01/21,BTMD
Bitcoin Depot Inc,86.34,09/30,01/21,BTM
Blue Bird Corp,"1,563.64",09/30,01/21,BLBD
Brookfield Business Corp,"2,507.99",09/30,01/21,BBUC
Bumble Inc,404.57,09/30,01/21,BMBL
Catalyst Pharmaceutical Inc,"2,974.38",09/30,01/21,CPRX
Consensus Cloud Solutions Inc,409.24,09/30,01/21,CCSI
CorMedix Inc,574.30,09/30,01/21,CRMD
Crocs Inc,"4,468.15",09/30,01/21,CROX
DHI Group Inc,77.65,09/30,01/21,DHX
Enghouse Systems Ltd,733.17,10/31,01/21,EGHSF
European Wax Center Inc,170.96,09/30,01/21,EWCZ
GAMBLING.COM GROUP LIMITED,171.26,09/30,01/21,GAMB
Getty Images Holdings Inc,527.52,09/30,01/21,GETY
GigaCloud Technology Inc,"1,476.19",09/30,01/21,GCT
H&R Block Inc,"5,122.58",09/30,01/21,HRB
Harmony Biosciences Holdings Inc,"2,113.20",09/30,01/21,HRMY
HP Inc,"18,334.76",10/31,01/21,HPQ
IDT Corp,"1,243.12",10/31,01/21,IDT
Innoviva Inc,"1,465.47",09/30,01/21,INVA
J Jill Inc,253.33,10/31,01/21,JILL
John Wiley & Sons Inc.,"1,659.61",10/31,01/21,WLY
Keros Therapeutics Inc,772.82,09/30,01/21,KROS
Korn Ferry,"3,504.85",10/31,01/21,KFY
NL Industries Inc.,307.35,09/30,01/21,NL
Omnicom Group Inc,"15,238.23",09/30,01/21,OMC
OneSpan Inc,449.74,09/30,01/21,OSPN
Pediatrix Medical Group Inc,"1,894.33",09/30,01/21,MD
Perdoceo Education Corp,"2,084.03",09/30,01/21,PRDO
Phoenix Education Partners Inc,"1,089.61",11/30,01/21,PXED
Pitney Bowes Inc.,"1,659.94",09/30,01/21,PBI
Playtika Holding Corp,"1,321.52",09/30,01/21,PLTK
PTC Therapeutics Inc,"6,039.66",09/30,01/21,PTCT
Puma Biotechnology Inc,347.15,09/30,01/21,PBYI
Regis Corp,58.69,09/30,01/21,RGS
Rigel Pharmaceuticals Inc,682.94,09/30,01/21,RIGL
Rimini Street Inc,337.53,09/30,01/21,RMNI
SBC Medical Group Holdings Inc,451.34,09/30,01/21,SBC
Shutterstock Inc,674.20,09/30,01/21,SSTK
SIGA Technologies Inc,476.93,09/30,01/21,SIGA
Sirius XM Holdings Inc,"6,921.98",09/30,01/21,SIRI
The Arena Group Holdings Inc,195.07,09/30,01/21,AREN
The Cigna Group,"73,435.34",09/30,01/21,CI
Travelzoo,63.95,09/30,01/21,TZOO
Unisys Corp,213.20,09/30,01/21,UIS
Versant Media Group Inc,"4,729.85",09/30,01/21,VSNT
Xponential Fitness Inc,278.90,09/30,01/21,XPOF
Yelp Inc,"1,770.40",09/30,01/21,YELP
