Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"115,011.20",12/31,03/02,MO
AMC Networks Inc,333.05,12/31,03/02,AMCX
biote Corp,64.43,09/30,03/02,BTMD
Bumble Inc,342.59,09/30,03/02,BMBL
Catalyst Pharmaceutical Inc,"2,935.04",09/30,03/02,CPRX
Cerence Inc,348.89,12/31,03/02,CRNC
CGI Inc,"15,612.58",12/31,03/02,GIB
Collegium Pharmaceutical Inc,"1,319.05",09/30,03/02,COLL
Consensus Cloud Solutions Inc,564.57,12/31,03/02,CCSI
CorMedix Inc,564.90,09/30,03/02,CRMD
Crocs Inc,"4,359.87",12/31,03/02,CROX
DHI Group Inc,121.38,12/31,03/02,DHX
Enghouse Systems Ltd,711.82,10/31,03/02,EGHSF
EverQuote Inc,577.44,12/31,03/02,EVER
GAMBLING.COM GROUP LIMITED,154.03,09/30,03/02,GAMB
Getty Images Holdings Inc,321.25,09/30,03/02,GETY
H&R Block Inc,"3,921.92",12/31,03/02,HRB
Harmony Biosciences Holdings Inc,"1,668.28",09/30,03/02,HRMY
HP Inc,"17,316.20",01/31,03/02,HPQ
IDT Corp,"1,292.76",10/31,03/02,IDT
Innoviva Inc,"1,691.11",09/30,03/02,INVA
Ironwood Pharmaceuticals Inc,579.90,12/31,03/02,IRWD
J Jill Inc,257.26,10/31,03/02,JILL
John Wiley & Sons Inc.,"1,606.92",10/31,03/02,WLY
Keros Therapeutics Inc,565.19,09/30,03/02,KROS
Korn Ferry,"3,215.37",10/31,03/02,KFY
Match Group Inc,"7,478.31",12/31,03/02,MTCH
NL Industries Inc.,301.97,09/30,03/02,NL
OneSpan Inc,391.54,12/31,03/02,OSPN
Pediatrix Medical Group Inc,"1,652.00",12/31,03/02,MD
Perdoceo Education Corp,"2,124.41",12/31,03/02,PRDO
Phoenix Education Partners Inc,"1,067.82",11/30,03/02,PXED
Pitney Bowes Inc.,"1,618.72",12/31,03/02,PBI
Playtika Holding Corp,"1,046.67",09/30,03/02,PLTK
PTC Therapeutics Inc,"5,407.43",12/31,03/02,PTCT
Puma Biotechnology Inc,323.47,09/30,03/02,PBYI
Regis Corp,56.88,12/31,03/02,RGS
Rigel Pharmaceuticals Inc,628.15,09/30,03/02,RIGL
SBC Medical Group Holdings Inc,400.05,09/30,03/02,SBC
Shutterstock Inc,584.79,12/31,03/02,SSTK
SIGA Technologies Inc,469.05,09/30,03/02,SIGA
Sirius XM Holdings Inc,"7,349.90",12/31,03/02,SIRI
The Arena Group Holdings Inc,141.31,09/30,03/02,AREN
The Cigna Group,"77,278.55",12/31,03/02,CI
Travelzoo,70.40,12/31,03/02,TZOO
TriNet Group Inc,"1,804.80",12/31,03/02,TNET
Unisys Corp,167.57,12/31,03/02,UIS
Versant Media Group Inc,"4,773.49",09/30,03/02,VSNT
Xponential Fitness Inc,163.24,12/31,03/02,XPOF
Yelp Inc,"1,379.66",12/31,03/02,YELP
