Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"101,001.00",09/30,01/13,MO
AMC Networks Inc,368.50,09/30,01/13,AMCX
biote Corp,74.55,09/30,01/13,BTMD
Bitcoin Depot Inc,93.88,09/30,01/13,BTM
Blue Bird Corp,"1,559.81",09/30,01/13,BLBD
Brookfield Business Corp,"2,472.29",09/30,01/13,BBUC
Bumble Inc,407.95,09/30,01/13,BMBL
Catalyst Pharmaceutical Inc,"2,754.97",09/30,01/13,CPRX
Consensus Cloud Solutions Inc,429.84,09/30,01/13,CCSI
CorMedix Inc,553.14,09/30,01/13,CRMD
Crocs Inc,"4,473.39",09/30,01/13,CROX
DHI Group Inc,78.13,09/30,01/13,DHX
Enghouse Systems Ltd,786.83,10/31,01/13,EGHSF
European Wax Center Inc,171.40,09/30,01/13,EWCZ
GAMBLING.COM GROUP LIMITED,177.24,09/30,01/13,GAMB
Getty Images Holdings Inc,535.83,09/30,01/13,GETY
H&R Block Inc,"5,437.37",09/30,01/13,HRB
Harmony Biosciences Holdings Inc,"2,059.63",09/30,01/13,HRMY
HP Inc,"19,789.90",10/31,01/13,HPQ
IDT Corp,"1,279.73",10/31,01/13,IDT
Innoviva Inc,"1,458.74",09/30,01/13,INVA
Ironwood Pharmaceuticals Inc,754.83,09/30,01/13,IRWD
J Jill Inc,239.57,10/31,01/13,JILL
John Wiley & Sons Inc.,"1,648.02",10/31,01/13,WLY
Keros Therapeutics Inc,792.32,09/30,01/13,KROS
Korn Ferry,"3,478.49",10/31,01/13,KFY
NL Industries Inc.,301.48,09/30,01/13,NL
Omnicom Group Inc,"15,030.74",09/30,01/13,OMC
OneSpan Inc,489.97,09/30,01/13,OSPN
Pediatrix Medical Group Inc,"1,902.92",09/30,01/13,MD
Perdoceo Education Corp,"2,032.58",09/30,01/13,PRDO
Phoenix Education Partners Inc,"1,132.84",11/30,01/13,PXED
Pitney Bowes Inc.,"1,715.33",09/30,01/13,PBI
Playtika Holding Corp,"1,381.76",09/30,01/13,PLTK
PTC Therapeutics Inc,"6,026.87",09/30,01/13,PTCT
Puma Biotechnology Inc,314.40,09/30,01/13,PBYI
Regis Corp,61.40,09/30,01/13,RGS
Rigel Pharmaceuticals Inc,688.75,09/30,01/13,RIGL
Rimini Street Inc,364.12,09/30,01/13,RMNI
SBC Medical Group Holdings Inc,457.49,09/30,01/13,SBC
Shutterstock Inc,663.55,09/30,01/13,SSTK
SIGA Technologies Inc,472.63,09/30,01/13,SIGA
Sirius XM Holdings Inc,"7,012.97",09/30,01/13,SIRI
The Arena Group Holdings Inc,200.30,09/30,01/13,AREN
The Cigna Group,"72,607.24",09/30,01/13,CI
Travelzoo,69.75,09/30,01/13,TZOO
Unisys Corp,231.74,09/30,01/13,UIS
Versant Media Group Inc,"4,973.34",09/30,01/13,VSNT
Xponential Fitness Inc,281.36,09/30,01/13,XPOF
Yelp Inc,"1,826.32",09/30,01/13,YELP
