Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"97,004.61",09/30,12/30,MO
AMC Networks Inc,422.82,09/30,12/30,AMCX
Atara Biotherapeutics Inc,128.91,09/30,12/30,ATRA
biote Corp,80.38,09/30,12/30,BTMD
Bitcoin Depot Inc,90.46,09/30,12/30,BTM
Blue Bird Corp,"1,485.52",09/30,12/30,BLBD
Brookfield Business Corp,"2,520.59",09/30,12/30,BBUC
Bumble Inc,407.95,09/30,12/30,BMBL
Catalyst Pharmaceutical Inc,"2,870.84",09/30,12/30,CPRX
Consensus Cloud Solutions Inc,417.12,09/30,12/30,CCSI
Crocs Inc,"4,542.03",09/30,12/30,CROX
DHI Group Inc,75.76,09/30,12/30,DHX
Enghouse Systems Ltd,824.61,10/31,12/30,EGHSF
European Wax Center Inc,154.91,09/30,12/30,EWCZ
GAMBLING.COM GROUP LIMITED,190.96,09/30,12/30,GAMB
Getty Images Holdings Inc,527.52,09/30,12/30,GETY
GigaCloud Technology Inc,"1,471.73",09/30,12/30,GCT
H&R Block Inc,"5,505.63",09/30,12/30,HRB
Harmony Biosciences Holdings Inc,"2,167.91",09/30,12/30,HRMY
HP Inc,"21,498.52",10/31,12/30,HPQ
IDT Corp,"1,287.25",10/31,12/30,IDT
Innoviva Inc,"1,487.16",09/30,12/30,INVA
Ironwood Pharmaceuticals Inc,541.72,09/30,12/30,IRWD
J Jill Inc,211.91,10/31,12/30,JILL
John Wiley & Sons Inc.,"1,632.21",10/31,12/30,WLY
Keros Therapeutics Inc,823.61,09/30,12/30,KROS
Korn Ferry,"3,456.78",10/31,12/30,KFY
NL Industries Inc.,258.00,09/30,12/30,NL
Omnicom Group Inc,"15,655.16",09/30,12/30,OMC
OneSpan Inc,493.39,09/30,12/30,OSPN
Pediatrix Medical Group Inc,"1,872.88",09/30,12/30,MD
Perdoceo Education Corp,"1,919.37",09/30,12/30,PRDO
Pitney Bowes Inc.,"1,734.87",09/30,12/30,PBI
Playtika Holding Corp,"1,513.53",09/30,12/30,PLTK
PTC Therapeutics Inc,"6,090.02",09/30,12/30,PTCT
Puma Biotechnology Inc,302.81,09/30,12/30,PBYI
Regis Corp,65.46,09/30,12/30,RGS
Rigel Pharmaceuticals Inc,777.11,09/30,12/30,RIGL
Rimini Street Inc,354.95,09/30,12/30,RMNI
SBC Medical Group Holdings Inc,450.31,09/30,12/30,SBC
Shutterstock Inc,669.23,09/30,12/30,SSTK
SIGA Technologies Inc,441.84,09/30,12/30,SIGA
Sirius XM Holdings Inc,"6,814.14",09/30,12/30,SIRI
The Arena Group Holdings Inc,191.74,09/30,12/30,AREN
Thor Explorations Ltd,646.05,09/30,12/30,THXPF
Travelzoo,77.40,09/30,12/30,TZOO
Unisys Corp,198.23,09/30,12/30,UIS
Versant Media Group Inc,"6,842.32",09/30,12/30,VSNTV
Xponential Fitness Inc,295.76,09/30,12/30,XPOF
Yelp Inc,"1,872.31",09/30,12/30,YELP
