Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
AMC Networks Inc,283.52,12/31,03/19,AMCX
BioCryst Pharmaceuticals Inc,"2,119.25",12/31,03/19,BCRX
Bumble Inc,484.75,12/31,03/19,BMBL
Catalyst Pharmaceutical Inc,"2,744.54",12/31,03/19,CPRX
Cerence Inc,320.53,12/31,03/19,CRNC
CGI Inc,"15,509.05",12/31,03/19,GIB
Collegium Pharmaceutical Inc,"1,151.00",12/31,03/19,COLL
Consensus Cloud Solutions Inc,530.44,12/31,03/19,CCSI
CorMedix Inc,493.60,09/30,03/19,CRMD
Cricut Inc,862.25,12/31,03/19,CRCT
Crocs Inc,"3,879.96",12/31,03/19,CROX
DHI Group Inc,110.71,12/31,03/19,DHX
Enghouse Systems Ltd,631.87,10/31,03/19,EGHSF
EverQuote Inc,566.60,12/31,03/19,EVER
GAMBLING.COM GROUP LIMITED,139.96,09/30,03/19,GAMB
Getty Images Holdings Inc,346.71,09/30,03/19,GETY
GigaCloud Technology Inc,"1,577.75",12/31,03/19,GCT
H&R Block Inc,"3,914.32",12/31,03/19,HRB
Harmony Biosciences Holdings Inc,"1,605.36",12/31,03/19,HRMY
HP Inc,"16,949.38",01/31,03/19,HPQ
Ironwood Pharmaceuticals Inc,524.67,12/31,03/19,IRWD
J Jill Inc,237.00,10/31,03/19,JILL
John Wiley & Sons Inc.,"1,919.86",01/31,03/19,WLY
Keros Therapeutics Inc,451.83,09/30,03/19,KROS
Korn Ferry,"3,178.36",01/31,03/19,KFY
MediaAlpha Inc,544.65,12/31,03/19,MAX
NL Industries Inc.,270.70,09/30,03/19,NL
OneSpan Inc,390.42,12/31,03/19,OSPN
Pediatrix Medical Group Inc,"1,679.01",12/31,03/19,MD
Perdoceo Education Corp,"2,189.90",12/31,03/19,PRDO
Phoenix Education Partners Inc,963.50,11/30,03/19,PXED
Pitney Bowes Inc.,"1,530.04",12/31,03/19,PBI
Playtika Holding Corp,"1,069.26",09/30,03/19,PLTK
PTC Therapeutics Inc,"5,464.87",12/31,03/19,PTCT
Puma Biotechnology Inc,310.01,12/31,03/19,PBYI
Regis Corp,59.98,12/31,03/19,RGS
Rigel Pharmaceuticals Inc,477.92,09/30,03/19,RIGL
SBC Medical Group Holdings Inc,372.35,09/30,03/19,SBC
Shutterstock Inc,605.04,12/31,03/19,SSTK
SIGA Technologies Inc,363.78,09/30,03/19,SIGA
Sirius XM Holdings Inc,"7,504.00",12/31,03/19,SIRI
The Arena Group Holdings Inc,121.32,09/30,03/19,AREN
The Cigna Group,"69,704.67",12/31,03/19,CI
Travelzoo,70.95,12/31,03/19,TZOO
TriNet Group Inc,"1,767.84",12/31,03/19,TNET
Unisys Corp,164.00,12/31,03/19,UIS
Upwork Inc,"1,482.53",12/31,03/19,UPWK
Versant Media Group Inc,"5,117.96",12/31,03/19,VSNT
Xponential Fitness Inc,201.66,12/31,03/19,XPOF
Yelp Inc,"1,490.16",12/31,03/19,YELP
