Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"96,232.20",09/30,01/02,MO
AMC Networks Inc,401.96,09/30,01/02,AMCX
Atara Biotherapeutics Inc,128.12,09/30,01/02,ATRA
biote Corp,75.78,09/30,01/02,BTMD
Bitcoin Depot Inc,90.46,09/30,01/02,BTM
Blue Bird Corp,"1,490.94",09/30,01/02,BLBD
Brookfield Business Corp,"2,547.89",09/30,01/02,BBUC
Bumble Inc,407.95,09/30,01/02,BMBL
Catalyst Pharmaceutical Inc,"2,853.59",09/30,01/02,CPRX
Consensus Cloud Solutions Inc,412.38,09/30,01/02,CCSI
Crocs Inc,"4,556.18",09/30,01/02,CROX
Deluxe Corp,997.77,09/30,01/02,DLX
DHI Group Inc,77.18,09/30,01/02,DHX
Enghouse Systems Ltd,801.61,10/31,01/02,EGHSF
European Wax Center Inc,149.27,09/30,01/02,EWCZ
GAMBLING.COM GROUP LIMITED,186.03,09/30,01/02,GAMB
Getty Images Holdings Inc,544.14,09/30,01/02,GETY
GigaCloud Technology Inc,"1,443.42",09/30,01/02,GCT
H&R Block Inc,"5,386.80",09/30,01/02,HRB
Harmony Biosciences Holdings Inc,"2,152.94",09/30,01/02,HRMY
HP Inc,"20,766.26",10/31,01/02,HPQ
IDT Corp,"1,267.94",10/31,01/02,IDT
Innoviva Inc,"1,485.66",09/30,01/02,INVA
Ironwood Pharmaceuticals Inc,694.64,09/30,01/02,IRWD
J Jill Inc,208.44,10/31,01/02,JILL
John Wiley & Sons Inc.,"1,554.24",10/31,01/02,WLY
Keros Therapeutics Inc,753.32,09/30,01/02,KROS
Korn Ferry,"3,431.97",10/31,01/02,KFY
NL Industries Inc.,266.79,09/30,01/02,NL
Omnicom Group Inc,"15,769.57",09/30,01/02,OMC
OneSpan Inc,466.44,09/30,01/02,OSPN
Pediatrix Medical Group Inc,"1,827.39",09/30,01/02,MD
Perdoceo Education Corp,"1,871.77",09/30,01/02,PRDO
Pitney Bowes Inc.,"1,682.75",09/30,01/02,PBI
Playtika Holding Corp,"1,498.47",09/30,01/02,PLTK
PTC Therapeutics Inc,"6,133.98",09/30,01/02,PTCT
Puma Biotechnology Inc,290.72,09/30,01/02,PBYI
Regis Corp,65.81,09/30,01/02,RGS
Rigel Pharmaceuticals Inc,758.96,09/30,01/02,RIGL
Rimini Street Inc,348.53,09/30,01/02,RMNI
SBC Medical Group Holdings Inc,444.16,09/30,01/02,SBC
Shutterstock Inc,663.55,09/30,01/02,SSTK
SIGA Technologies Inc,449.00,09/30,01/02,SIGA
Sirius XM Holdings Inc,"6,911.87",09/30,01/02,SIRI
The Arena Group Holdings Inc,187.93,09/30,01/02,AREN
Travelzoo,75.76,09/30,01/02,TZOO
Unisys Corp,185.40,09/30,01/02,UIS
Versant Media Group Inc,"6,801.71",09/30,01/02,VSNTV
Xponential Fitness Inc,281.71,09/30,01/02,XPOF
Yelp Inc,"1,876.66",09/30,01/02,YELP
