Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"96,752.73",09/30,12/29,MO
AMC Networks Inc,427.16,09/30,12/29,AMCX
Atara Biotherapeutics Inc,129.71,09/30,12/29,ATRA
biote Corp,82.23,09/30,12/29,BTMD
Bitcoin Depot Inc,89.09,09/30,12/29,BTM
Brookfield Business Corp,"2,586.39",09/30,12/29,BBUC
Bumble Inc,388.79,09/30,12/29,BMBL
Catalyst Pharmaceutical Inc,"2,965.76",09/30,12/29,CPRX
Consensus Cloud Solutions Inc,420.73,09/30,12/29,CCSI
Crocs Inc,"4,503.26",09/30,12/29,CROX
Deluxe Corp,"1,031.95",09/30,12/29,DLX
DHI Group Inc,73.87,09/30,12/29,DHX
Enghouse Systems Ltd,821.87,10/31,12/29,EGHSF
European Wax Center Inc,157.51,09/30,12/29,EWCZ
GAMBLING.COM GROUP LIMITED,184.63,09/30,12/29,GAMB
Getty Images Holdings Inc,502.60,09/30,12/29,GETY
GigaCloud Technology Inc,"1,481.78",09/30,12/29,GCT
H&R Block Inc,"5,518.28",09/30,12/29,HRB
Harmony Biosciences Holdings Inc,"2,183.46",09/30,12/29,HRMY
HP Inc,"21,338.92",10/31,12/29,HPQ
IDT Corp,"1,298.78",10/31,12/29,IDT
Innoviva Inc,"1,474.45",09/30,12/29,INVA
Ironwood Pharmaceuticals Inc,522.20,09/30,12/29,IRWD
J Jill Inc,213.88,10/31,12/29,JILL
John Wiley & Sons Inc.,"1,634.32",10/31,12/29,WLY
Keros Therapeutics Inc,838.24,09/30,12/29,KROS
Korn Ferry,"3,466.60",10/31,12/29,KFY
NL Industries Inc.,260.93,09/30,12/29,NL
Omnicom Group Inc,"15,604.74",09/30,12/29,OMC
OneSpan Inc,491.49,09/30,12/29,OSPN
Pediatrix Medical Group Inc,"1,878.88",09/30,12/29,MD
Perdoceo Education Corp,"1,918.08",09/30,12/29,PRDO
Pitney Bowes Inc.,"1,743.02",09/30,12/29,PBI
Playtika Holding Corp,"1,483.41",09/30,12/29,PLTK
PTC Therapeutics Inc,"6,205.92",09/30,12/29,PTCT
Puma Biotechnology Inc,306.84,09/30,12/29,PBYI
Regis Corp,65.57,09/30,12/29,RGS
Rigel Pharmaceuticals Inc,781.64,09/30,12/29,RIGL
Rimini Street Inc,354.04,09/30,12/29,RMNI
SBC Medical Group Holdings Inc,450.31,09/30,12/29,SBC
Shutterstock Inc,648.28,09/30,12/29,SSTK
SIGA Technologies Inc,447.57,09/30,12/29,SIGA
Sirius XM Holdings Inc,"6,851.21",09/30,12/29,SIRI
The Arena Group Holdings Inc,186.98,09/30,12/29,AREN
Thor Explorations Ltd,638.69,09/30,12/29,THXPF
Travelzoo,78.05,09/30,12/29,TZOO
Unisys Corp,202.51,09/30,12/29,UIS
Versant Media Group Inc,"6,781.46",09/30,12/29,VSNTV
Xponential Fitness Inc,301.03,09/30,12/29,XPOF
Yelp Inc,"1,875.42",09/30,12/29,YELP
