Company Name (in alphabetical order),Market Cap ($ Millions),Most Recent Quarter Data,Price From,Ticker
Altria Group Inc,"91,883.20",09/30,01/07,MO
AMC Networks Inc,381.53,09/30,01/07,AMCX
Atara Biotherapeutics Inc,107.72,09/30,01/07,ATRA
biote Corp,75.17,09/30,01/07,BTMD
Bitcoin Depot Inc,93.20,09/30,01/07,BTM
Blue Bird Corp,"1,500.51",09/30,01/07,BLBD
Brookfield Business Corp,"2,393.20",09/30,01/07,BBUC
Bumble Inc,407.95,09/30,01/07,BMBL
Catalyst Pharmaceutical Inc,"2,800.58",09/30,01/07,CPRX
Consensus Cloud Solutions Inc,403.26,09/30,01/07,CCSI
Crocs Inc,"4,480.20",09/30,01/07,CROX
Deluxe Corp,997.32,09/30,01/07,DLX
DHI Group Inc,78.13,09/30,01/07,DHX
Enghouse Systems Ltd,811.91,10/31,01/07,EGHSF
Espey Mfg & Electronics Corp,128.28,09/30,01/07,ESP
European Wax Center Inc,174.87,09/30,01/07,EWCZ
GAMBLING.COM GROUP LIMITED,184.98,09/30,01/07,GAMB
Getty Images Holdings Inc,535.83,09/30,01/07,GETY
H&R Block Inc,"5,490.46",09/30,01/07,HRB
Harmony Biosciences Holdings Inc,"2,162.73",09/30,01/07,HRMY
HP Inc,"19,799.29",10/31,01/07,HPQ
IDT Corp,"1,305.30",10/31,01/07,IDT
Innoviva Inc,"1,460.99",09/30,01/07,INVA
Ironwood Pharmaceuticals Inc,663.73,09/30,01/07,IRWD
J Jill Inc,218.26,10/31,01/07,JILL
John Wiley & Sons Inc.,"1,608.50",10/31,01/07,WLY
Keros Therapeutics Inc,754.13,09/30,01/07,KROS
Korn Ferry,"3,442.30",10/31,01/07,KFY
NL Industries Inc.,271.19,09/30,01/07,NL
Omnicom Group Inc,"15,044.31",09/30,01/07,OMC
OneSpan Inc,499.84,09/30,01/07,OSPN
Pediatrix Medical Group Inc,"1,882.32",09/30,01/07,MD
Perdoceo Education Corp,"2,024.21",09/30,01/07,PRDO
Pitney Bowes Inc.,"1,661.57",09/30,01/07,PBI
Playtika Holding Corp,"1,393.05",09/30,01/07,PLTK
PTC Therapeutics Inc,"6,173.95",09/30,01/07,PTCT
Puma Biotechnology Inc,306.84,09/30,01/07,PBYI
Regis Corp,62.03,09/30,01/07,RGS
Rigel Pharmaceuticals Inc,853.31,09/30,01/07,RIGL
Rimini Street Inc,353.12,09/30,01/07,RMNI
SBC Medical Group Holdings Inc,454.42,09/30,01/07,SBC
Shutterstock Inc,667.10,09/30,01/07,SSTK
SIGA Technologies Inc,490.54,09/30,01/07,SIGA
Sirius XM Holdings Inc,"7,087.11",09/30,01/07,SIRI
The Arena Group Holdings Inc,192.69,09/30,01/07,AREN
Travelzoo,73.79,09/30,01/07,TZOO
Unisys Corp,205.36,09/30,01/07,UIS
Versant Media Group Inc,"4,850.87",09/30,01/07,VSNT
Xponential Fitness Inc,286.28,09/30,01/07,XPOF
Yelp Inc,"1,882.25",09/30,01/07,YELP
